nome;id
ALIS;1
 EUROSPIN;2
 S.B.M. S.r.l.;3
 Vinci F.lli & C. S.r.l. ;4
Alessio Iannello (ex Murè Sebastiano);5
Alibrandi Anna Maria;6
Alimentari di Campo Antonia;7
Alimentari Terme srl Unipersona ;8
Alis di Raffaele Alessandro;9
Alis Falcone di R. Alessandro;10
Alise s.a.s. di Geraci M &C;11
ALTO;12
ALTRO;13
ARD;14
ARD ;15
ARD [ex Selex Super A & O (Abate Superstore)(Interdis)];16
Ard >Discount di Battaglia Jenny;17
ARD Discount;18
Ard Più;19
ardis;20
ARENA;21
Artale;22
Auchan;23
B.Emme snc;24
Beldì SISA;25
bisignao anfuso;26
BON.DI.AL. s.r.l.        ;27
BONDIAL srl ;28
CA.ME.SS. S.r.l.  ;29
cambria;30
Cappellano SrL;31
Carcere;32
CARREFOUR;33
Carrefour (ex Eurospar);34
CARREFOUR EXPRESS;35
CATABON SRL;36
CATENE INDIPENDENTI;37
cds spa;38
CGS Supermercati;39
City Market srl;40
COMMERCIALE GI.CAP  s.p.a. ;41
Commerciale GI.CAP  snc  ;42
Commerciale GI.CAP  spa  ;43
Commerciale Gi.Cap. snc;44
CONAD;45
CONAD ;46
Conad (ex PAM);47
CONAD (ex Standa ex VE.DI. Supermercati sas);48
Conad (ex Standa);49
Conad F.lli Zocco;50
Conad Formisano;51
Conad Gulizia;52
Conad Margherita;53
Conad Sicilia;54
ConTè [ex Bontò];55
Contè Megalimentari;56
Coop;57
COOP ITALIA;58
crai;59
DAL srl ;60
De luca Gabriele                                                                 ;61
DESPAR;62
DESPAR                G. Pino Srl    ;63
Despar (ex Di Meglio );64
Despar (ex Di Meglio ?);65
Despar (ex Di Meglio);66
Despar (ex Sidis?);67
Di Meglio;68
Di Meglio ;69
Dimeglio [ex Di Meglio Point Minnalà];70
Dolciaria Manna sas;71
e.m. discount;72
Ergon Ard;73
Ergon Consortile;74
Ergon Despar (ex Di Meglio );75
Ergon Interspar;76
esseri basile;77
esserre;78
EURO ARD;79
euromarket;80
EUROSPAR  FI.DI.AL. s.r.l.     ;81
eurospin;82
Eurospin ;83
Eurospin Sicilia spa;84
EX Randisi;85
F.IDI.AL. S.p.a.                                                                 ;86
F.LLI ARENA s.r.l.;87
F.lli Vinci S.r.l.  ;88
Famila;89
FI.DI.AL.           ;90
FI.DI.AL. S.p.a..                                                                 ;91
FI.DI.AL. s.r.l.          ;92
FI.DI.AL. S.r.l.                                         ;93
FIORINO S.r.l. ;94
fortè;95
FORTE';96
Fortè ;97
G.F.A. srl;98
G.F.A. srl ;99
GALATEA                                Soc. Coop. A  r.l.;100
Gambuzza SISA (ex Italmec);101
Gemar;102
GESAR srl via Calabria 20 Valguarnera (EN);103
GFA srl;104
GI.PI. Srls;105
GIGA srl;106
GOOD MARKET;107
Grossy srl;108
gruppo abate;109
GRUPPO ARENA;110
Gruppo Auchan;111
Gruppo Omero ;112
Gruppo Palazzolo ;113
Il Supermercato aff. SIDIS (ex Carrefour Express ex Euro Hard);114
Impala Antonino Giovanni & C sas;115
Impalà Antonino Giovanni sas;116
INTESPAR                Grande Pino srl  ;117
IPERCONVENIENZA;118
IperCoop;119
Ipercoop Sicilia spa;120
IPERSIDIS;121
Ipersimply [ex Cityper];122
KM Market S.r.l.   Società unipersonale;123
Komedis CGS Carpanzano;124
LA GARONAISE SRL;125
LIDL;126
Lillo SpA;127
Lillo spa ;128
Marechiaro S.A:S. di  Ardigò Mario e C;129
Margherita;130
Marino 1959 s.r.l.;131
MARINO 1959 srl;132
Max S.a.s. di Carbone Rosaria e C;133
MAX SUPERMERCATI;134
MAXI;135
Maxi sconto;136
Maxi Sconto (ex 2M);137
Maxi Sconto (ex Conad SIR);138
Maxi Sconto (ex Sisa);139
Maxi Sconto [ex PAM];140
MAXISCONTO;141
Maxisconto [ex Euro Hard];142
Maxisidis;143
MD;144
MD DISCOUNT;145
ME.DI srl;146
mercati alimentari;147
MERSI;148
MERSI' Spa;149
Metà;150
Mini Market 1991;151
minimarket;152
N. Trade srl;153
Nuovo Mercato S.r.l.;154
P&C srl;155
Paff Supermercati srl ;156
PAGHI POCO;157
pam;158
Panarello Alessandro;159
Paone srl;160
Penny Market;161
Pratikò (ex Eurosconto);162
PROJET MEAT di Santapaola Ylenia;163
Puglisi Giuseppe Antonio;164
PUNTO SIMPLY;165
Punto SMA;166
R7;167
RAINERI RISPARMI;168
RAMER srl;169
Roberto Abate spa;170
ROSTA'S S.r.l.;171
S. B. M.  srl;172
S.A. Supermercati srl;173
S.B.M.  Srl;174
S.B.M. SRL;175
S.G.A.  s.r.l.;176
S.G.S Supermercati srl;177
San Salvatore società coop.;178
selex commerciale;179
SGS di Salvator Scalera ;180
SGS srl;181
SI più;182
SIC.AL. Srl;183
SICIL.BON S.r.l.        ;184
SICILIA MART Srl;185
Sidis;186
SIDIS ;187
SIFRA srl;188
SIGMA;189
SIGMA [ex Mercati Alimentari ex Hard & Brand];190
Simply SMA;191
sisa;192
SISA (ex Alis [Blandino]);193
SISA (ex Sessa Superstore Essequattro?);194
SMA;195
SMA s.p.a.;196
SMA S.p.a. ;197
SMA Spa;198
SMA Spa ;199
SPACCIO FRESCO;200
Spatola (ex Conad);201
SPESA FACILE  s.r.l;202
Super A & O;203
SUPERMARKET L'ISOLA SRL;204
Supermencati Bonina srl;205
Supermercati Azeta s.n.c. ;206
Supermercati Bonina S.r.l.;207
supermercati Russo s.r.l.;208
Supermercato G. Gius. Micalizzi;209
Supermercato Iarrera Antonia;210
Todis;211
VI.BON srl;212
VI.BON. srl;213
Vincenzo                            Di Bella Srl;214
